breakdown,new,average,total,new_average,new_total,positive,negative,neutral,new_positive,new_negative,new_neutral,product_id,date
"[153, 33, 49, 82, 282]","[0, 0, 0, 0, 0]",3.51,599,,0,364,186,49,0,0,0,6284390,2021-02-01
"[153, 33, 49, 83, 281]","[0, 0, 0, 1, -1]",3.51,599,4.0,0,364,186,49,0,0,0,6284390,2021-02-02
"[153, 33, 49, 82, 282]","[0, 0, 0, -1, 1]",3.51,599,5.0,0,364,186,49,0,0,0,6284390,2021-02-03
"[153, 33, 49, 83, 281]","[0, 0, 0, 1, -1]",3.51,599,4.0,0,364,186,49,0,0,0,6284390,2021-02-04
"[153, 33, 49, 83, 281]","[0, 0, 0, 0, 0]",3.51,599,,0,364,186,49,0,0,0,6284390,2021-02-05
"[153, 33, 49, 83, 281]","[0, 0, 0, 0, 0]",3.51,599,,0,364,186,49,0,0,0,6284390,2021-02-06
"[153, 33, 49, 83, 281]","[0, 0, 0, 0, 0]",3.51,599,,0,364,186,49,0,0,0,6284390,2021-02-07
"[153, 33, 49, 83, 281]","[0, 0, 0, 0, 0]",3.51,599,,0,364,186,49,0,0,0,6284390,2021-02-08
"[153, 33, 49, 84, 281]","[0, 0, 0, 1, 0]",3.51,600,4.0,1,365,186,49,1,0,0,6284390,2021-02-09
"[153, 33, 49, 83, 282]","[0, 0, 0, -1, 1]",3.51,600,5.0,0,365,186,49,0,0,0,6284390,2021-02-10
"[153, 33, 49, 84, 281]","[0, 0, 0, 1, -1]",3.51,600,4.0,0,365,186,49,0,0,0,6284390,2021-02-11
"[153, 33, 49, 84, 281]","[0, 0, 0, 0, 0]",3.51,600,,0,365,186,49,0,0,0,6284390,2021-02-12
"[153, 33, 49, 84, 281]","[0, 0, 0, 0, 0]",3.51,600,,0,365,186,49,0,0,0,6284390,2021-02-13
"[153, 33, 49, 83, 282]","[0, 0, 0, -1, 1]",3.51,600,5.0,0,365,186,49,0,0,0,6284390,2021-02-14
"[153, 33, 49, 83, 282]","[0, 0, 0, 0, 0]",3.51,600,,0,365,186,49,0,0,0,6284390,2021-02-15
"[153, 33, 49, 84, 281]","[0, 0, 0, 1, -1]",3.51,600,4.0,0,365,186,49,0,0,0,6284390,2021-02-16
"[153, 33, 49, 83, 282]","[0, 0, 0, -1, 1]",3.51,600,5.0,0,365,186,49,0,0,0,6284390,2021-02-17
"[153, 33, 49, 84, 281]","[0, 0, 0, 1, -1]",3.51,600,4.0,0,365,186,49,0,0,0,6284390,2021-02-18
"[153, 33, 49, 84, 281]","[0, 0, 0, 0, 0]",3.51,600,,0,365,186,49,0,0,0,6284390,2021-02-19
"[153, 33, 49, 84, 281]","[0, 0, 0, 0, 0]",3.51,600,,0,365,186,49,0,0,0,6284390,2021-02-20
"[153, 33, 49, 84, 281]","[0, 0, 0, 0, 0]",3.51,600,,0,365,186,49,0,0,0,6284390,2021-02-21
"[153, 33, 49, 84, 281]","[0, 0, 0, 0, 0]",3.51,600,,0,365,186,49,0,0,0,6284390,2021-02-22
"[153, 33, 49, 83, 282]","[0, 0, 0, -1, 1]",3.51,600,5.0,0,365,186,49,0,0,0,6284390,2021-02-23
"[153, 33, 49, 84, 281]","[0, 0, 0, 1, -1]",3.51,600,4.0,0,365,186,49,0,0,0,6284390,2021-02-24
"[153, 33, 49, 84, 281]","[0, 0, 0, 0, 0]",3.51,600,,0,365,186,49,0,0,0,6284390,2021-02-25
"[153, 33, 49, 84, 281]","[0, 0, 0, 0, 0]",3.51,600,,0,365,186,49,0,0,0,6284390,2021-02-26
"[136, 39, 49, 71, 297]","[0, 0, 0, 0, 0]",3.6,592,,0,368,175,49,0,0,0,6454653,2021-02-01
"[136, 39, 50, 71, 296]","[0, 0, 1, 0, -1]",3.59,592,3.0,0,367,175,50,-1,0,1,6454653,2021-02-02
"[136, 39, 50, 71, 296]","[0, 0, 0, 0, 0]",3.59,592,,0,367,175,50,0,0,0,6454653,2021-02-03
"[136, 39, 49, 71, 298]","[0, 0, -1, 0, 2]",3.6,593,5.0,1,369,175,49,2,0,-1,6454653,2021-02-04
"[136, 39, 49, 71, 298]","[0, 0, 0, 0, 0]",3.6,593,,0,369,175,49,0,0,0,6454653,2021-02-05
"[136, 39, 50, 71, 297]","[0, 0, 1, 0, -1]",3.6,593,3.0,0,368,175,50,-1,0,1,6454653,2021-02-06
"[136, 39, 50, 71, 297]","[0, 0, 0, 0, 0]",3.6,593,,0,368,175,50,0,0,0,6454653,2021-02-07
"[136, 39, 50, 71, 297]","[0, 0, 0, 0, 0]",3.6,593,,0,368,175,50,0,0,0,6454653,2021-02-08
"[136, 39, 50, 70, 297]","[0, 0, 0, -1, 0]",3.6,592,,-1,367,175,50,-1,0,0,6454653,2021-02-09
"[136, 39, 50, 71, 297]","[0, 0, 0, 1, 0]",3.6,593,4.0,1,368,175,50,1,0,0,6454653,2021-02-10
"[136, 39, 49, 71, 298]","[0, 0, -1, 0, 1]",3.6,593,5.0,0,369,175,49,1,0,-1,6454653,2021-02-11
"[136, 39, 49, 71, 298]","[0, 0, 0, 0, 0]",3.6,593,,0,369,175,49,0,0,0,6454653,2021-02-12
"[136, 39, 49, 71, 298]","[0, 0, 0, 0, 0]",3.6,593,,0,369,175,49,0,0,0,6454653,2021-02-13
"[136, 39, 49, 71, 298]","[0, 0, 0, 0, 0]",3.6,593,,0,369,175,49,0,0,0,6454653,2021-02-14
"[136, 39, 49, 71, 298]","[0, 0, 0, 0, 0]",3.6,593,,0,369,175,49,0,0,0,6454653,2021-02-15
"[136, 39, 49, 71, 298]","[0, 0, 0, 0, 0]",3.6,593,,0,369,175,49,0,0,0,6454653,2021-02-16
"[136, 39, 49, 71, 298]","[0, 0, 0, 0, 0]",3.6,593,,0,369,175,49,0,0,0,6454653,2021-02-17
"[136, 39, 50, 71, 297]","[0, 0, 1, 0, -1]",3.6,593,3.0,0,368,175,50,-1,0,1,6454653,2021-02-18
"[136, 39, 50, 71, 297]","[0, 0, 0, 0, 0]",3.6,593,,0,368,175,50,0,0,0,6454653,2021-02-19
"[136, 39, 50, 71, 297]","[0, 0, 0, 0, 0]",3.6,593,,0,368,175,50,0,0,0,6454653,2021-02-20
